Date,Close
9/2/2016,39.556
9/6/2016,40.566002
9/7/2016,40.341999
9/8/2016,39.472
9/9/2016,38.894001
9/12/2016,39.66
9/13/2016,39.209999
9/14/2016,39.282001
9/15/2016,40.084
9/16/2016,41.080002
9/19/2016,41.268002
9/20/2016,40.928001
9/21/2016,41.043999
9/22/2016,41.285999
9/23/2016,41.490002
9/26/2016,41.798
9/27/2016,41.161999
9/28/2016,41.254002
9/29/2016,40.139999
9/30/2016,40.806
10/3/2016,42.740002
10/4/2016,42.282001
10/5/2016,41.692001
10/6/2016,40.200001
10/7/2016,39.321999
10/10/2016,40.189999
10/11/2016,40.02
10/12/2016,40.301998
10/13/2016,40.048
10/14/2016,39.301998
10/17/2016,38.792
10/18/2016,39.82
10/19/2016,40.712002
10/20/2016,39.82
10/21/2016,40.018002
10/24/2016,40.551998
10/25/2016,40.467999
10/26/2016,40.448002
10/27/2016,40.801998
10/28/2016,39.993999
10/31/2016,39.546001
11/1/2016,38.158001
11/2/2016,37.604
11/3/2016,37.484001
11/4/2016,38.112
11/7/2016,38.641998
11/8/2016,38.987999
11/9/2016,38.012001
11/10/2016,37.07
11/11/2016,37.712002
11/14/2016,36.290001
11/15/2016,36.754002
11/16/2016,36.785999
11/17/2016,37.731998
11/18/2016,37.004002
11/21/2016,36.903999
11/22/2016,38.234001
11/23/2016,38.627998
11/25/2016,39.330002
11/28/2016,39.223999
11/29/2016,37.914001
11/30/2016,37.880001
12/1/2016,36.375999
12/2/2016,36.293999
12/5/2016,37.360001
12/6/2016,37.169998
12/7/2016,38.630001
12/8/2016,38.458
12/9/2016,38.436001
12/12/2016,38.486
12/13/2016,39.630001
12/14/2016,39.737999
12/15/2016,39.515999
12/16/2016,40.498001
12/19/2016,40.546001
12/20/2016,41.757999
12/21/2016,41.540001
12/22/2016,41.689999
12/23/2016,42.667999
12/27/2016,43.905998
12/28/2016,43.948002
12/29/2016,42.936001
12/30/2016,42.737999
1/3/2017,43.397999
1/4/2017,45.397999
1/5/2017,45.349998
1/6/2017,45.801998
1/9/2017,46.256001
1/10/2017,45.973999
1/11/2017,45.945999
1/12/2017,45.917999
1/13/2017,47.549999
1/17/2017,47.116001
1/18/2017,47.672001
1/19/2017,48.751999
1/20/2017,48.945999
1/23/2017,49.784
1/24/2017,50.922001
1/25/2017,50.894001
1/26/2017,50.501999
1/27/2017,50.59
1/30/2017,50.125999
1/31/2017,50.386002
2/1/2017,49.848
2/2/2017,50.310001
2/3/2017,50.265999
2/6/2017,51.554001
2/7/2017,51.495998
2/8/2017,52.416
2/9/2017,53.84
2/10/2017,53.846001
2/13/2017,56.119999
2/14/2017,56.195999
2/15/2017,55.952
2/16/2017,53.790001
2/17/2017,54.445999
2/21/2017,55.478001
2/22/2017,54.702
2/23/2017,51.198002
2/24/2017,51.400002
2/27/2017,49.245998
2/28/2017,49.998001
3/1/2017,50.004002
